AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58030,OUS - Oregon State University,Administrator 3-Tier 1 H-COA,Executive/Admin and managerial,Full-Time,"$1,060,008.00 "
58030,OUS - Oregon State University,Administrator 3-PAC12 Md H-COA,Executive/Admin and managerial,Full-Time,"$800,004.00 "
58030,OUS - Oregon State University,Executive 3-Athletics,Executive/Admin and managerial,Full-Time,"$545,508.00 "
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,"$490,008.00 "
58030,OUS - Oregon State University,Executive 1-President,Executive/Admin and managerial,Full-Time,"$485,088.00 "
58030,OUS - Oregon State University,Administrator 3-Rev Oly H-COA,Executive/Admin and managerial,Full-Time,"$323,640.00 "
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,"$320,004.00 "
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,"$315,000.00 "
58030,OUS - Oregon State University,Executive 1-Provost/Exec VP,Executive/Admin and managerial,Full-Time,"$309,000.00 "
58030,OUS - Oregon State University,Administrator 3-PAC12 Md H-COA,Executive/Admin and managerial,Full-Time,"$275,004.00 "
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,"$260,004.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$255,000.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$251,172.00 "
58030,OUS - Oregon State University,Executive 2-Univ Rel & Mktg,Executive/Admin and managerial,Full-Time,"$247,224.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$238,068.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$237,876.00 "
58030,OUS - Oregon State University,Executive 2-Fin & Admin,Executive/Admin and managerial,Full-Time,"$236,004.00 "
58030,OUS - Oregon State University,Executive 2-CIO,Executive/Admin and managerial,Full-Time,"$235,692.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$235,020.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$235,008.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$231,756.00 "
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,"$227,808.00 "
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,"$225,000.00 "
58030,OUS - Oregon State University,Executive 2-Vice Provost,Executive/Admin and managerial,Full-Time,"$224,316.00 "
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,"$224,184.00 "
58030,OUS - Oregon State University,Executive 2-Vice Provost,Executive/Admin and managerial,Full-Time,"$223,224.00 "
58030,OUS - Oregon State University,Executive 2-Aux Campus,Executive/Admin and managerial,Full-Time,"$221,460.00 "
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,"$216,948.00 "
58030,OUS - Oregon State University,Executive 3-General Counsel,Executive/Admin and managerial,Full-Time,"$216,420.00 "
58030,OUS - Oregon State University,Coordinator-PAC12 Md Asst COA,Other professionals,Full-Time,"$214,260.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$211,116.00 "
58030,OUS - Oregon State University,Administrator 1-Bud & Fisc Pln,Executive/Admin and managerial,Full-Time,"$211,056.00 "
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,"$210,804.00 "
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,"$206,016.00 "
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,"$204,912.00 "
58030,OUS - Oregon State University,Administrator 1-School Head,Executive/Admin and managerial,Full-Time,"$203,004.00 "
58030,OUS - Oregon State University,Professor-Endowed Chair,Faculty,Full-Time,"$202,266.00 "
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,"$202,266.00 "
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,"$202,236.00 "
58030,OUS - Oregon State University,Executive 2-Ten Vice Provost,Executive/Admin and managerial,Full-Time,"$202,140.00 "
58030,OUS - Oregon State University,Executive 3-Alumni Relations,Executive/Admin and managerial,Full-Time,"$200,004.00 "
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,"$197,760.00 "
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,"$194,652.00 "
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,"$194,004.00 "
58030,OUS - Oregon State University,Executive 3-Research,Executive/Admin and managerial,Full-Time,"$193,728.00 "
58030,OUS - Oregon State University,Professor-Endowed Chair,Faculty,Full-Time,"$191,592.00 "
