AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58090,OUS - Portland State University,RRI UT Salary Pool < .50,Faculty,Part-Time,"$16,000.00 "
58090,OUS - Portland State University,PHE UX DirCtrPublicHealth Stud,Executive/Admin and managerial,Full-Time,"$113,342.00 "
58090,OUS - Portland State University,USP UT Salary Pool < .50,Faculty,Part-Time,"$2,499.00 "
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$38,916.00 "
58090,OUS - Portland State University,EDU UP Asst Prof SPED,Faculty,Full-Time,"$57,771.00 "
58090,OUS - Portland State University,MUS UP Asc Prof Appl Clar,Faculty,Full-Time,"$65,637.00 "
58090,OUS - Portland State University,SSW UT Salary Pool < .50,Faculty,Part-Time,"$14,771.00 "
58090,OUS - Portland State University,SSW UT Salary Pool < .50,Faculty,Part-Time,"$9,639.00 "
58090,OUS - Portland State University,EDU UP PracticumInternship Co,Other professionals,Full-Time,"$47,160.00 "
58090,OUS - Portland State University,Custodian,Classified Staff,Full-Time,"$29,972.00 "
58090,OUS - Portland State University,SPA UP Grants&Agree Analyst,Other professionals,Full-Time,"$54,336.00 "
58090,OUS - Portland State University,Campus Dispatcher,Classified Staff,Full-Time,"$32,551.00 "
58090,OUS - Portland State University,Analyst Programmer,Classified Staff,Full-Time,"$97,692.00 "
58090,OUS - Portland State University,ATH UP Athletic Academic Advis,Other professionals,Full-Time,"$40,008.00 "
58090,OUS - Portland State University,ENG UT Salary Pool < .50,Faculty,Part-Time,"$7,368.00 "
58090,OUS - Portland State University,EDU UT Salary Pool < .50,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,USP UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,OSA UU Enrol Mgmt Data Analyst,Other professionals,Full-Time,"$52,032.00 "
58090,OUS - Portland State University,EDU UT SPED Cohort Pool,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,PHE UT Salary Pool < .50,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,CWP UX Executive Director,Executive/Admin and managerial,Full-Time,"$110,304.00 "
58090,OUS - Portland State University,TAD UT Salary Pool < .50,Faculty,Part-Time,"$19,512.00 "
58090,OUS - Portland State University,ART UX School Director,Executive/Admin and managerial,Full-Time,"$129,852.00 "
58090,OUS - Portland State University,SSW UP Prof,Faculty,Full-Time,"$86,787.00 "
58090,OUS - Portland State University,BIO UT Adjunct Pool,Faculty,Part-Time,"$4,824.00 "
58090,OUS - Portland State University,Medical Aide,Classified Staff,Full-Time,"$28,745.00 "
58090,OUS - Portland State University,Info Technology Consultant,Classified Staff,Full-Time,"$44,651.00 "
58090,OUS - Portland State University,LAS UP Academic Advisor,Other professionals,Full-Time,"$45,144.00 "
58090,OUS - Portland State University,Administrative Program Assist,Classified Staff,Full-Time,"$35,463.00 "
58090,OUS - Portland State University,EDU UT SPED Cohort Pool,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,UGE UP Instructor NR,Faculty,Full-Time,"$40,005.00 "
58090,OUS - Portland State University,Office Specialist 1,Classified Staff,Full-Time,"$32,551.00 "
58090,OUS - Portland State University,SSW UP Asc Prof,Faculty,Full-Time,"$49,815.00 "
58090,OUS - Portland State University,ENG UP Instructor,Faculty,Full-Time,"$41,004.00 "
58090,OUS - Portland State University,EAS UX Dir External Rels,Executive/Admin and managerial,Full-Time,"$62,253.00 "
58090,OUS - Portland State University,SPH UP Clinical Assoc Prof,Faculty,Full-Time,"$44,964.00 "
58090,OUS - Portland State University,EEN UP Asstt Prof,Faculty,Full-Time,"$83,079.00 "
58090,OUS - Portland State University,Administrative Program Assist,Classified Staff,Full-Time,"$38,916.00 "
58090,OUS - Portland State University,EDC UT Salary Pool Cohort Sup,Faculty,Part-Time,$612.00 
58090,OUS - Portland State University,XCE UT Salary Pool < .50,Faculty,Part-Time,"$2,499.00 "
58090,OUS - Portland State University,PSY UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,LAS UX Dean's Executive Asst,Other professionals,Full-Time,"$71,976.00 "
58090,OUS - Portland State University,CFS UP Assoc Prof,Faculty,Full-Time,"$60,777.00 "
58090,OUS - Portland State University,General Maintenance Mechanic,Classified Staff,Full-Time,"$44,719.00 "
58090,OUS - Portland State University,CDC UP Kindergarten Prgm Lead,Other professionals,Full-Time,"$40,008.00 "
58090,OUS - Portland State University,HRC UU Payroll Technician,Clerical and secretarial,Full-Time,"$38,004.00 "
58090,OUS - Portland State University,SPA UP Dept Rsch Admin SSW,Other professionals,Full-Time,"$57,504.00 "
58090,OUS - Portland State University,MUS UX School Director,Executive/Admin and managerial,Full-Time,"$110,028.00 "
58090,OUS - Portland State University,PHE UT Salary Pool < .50,Faculty,Part-Time,$833.00 
58090,OUS - Portland State University,DEV UU Rsch & Re lMang Anlyst,Technical and paraprofessional,Full-Time,"$40,296.00 "
58090,OUS - Portland State University,GGR UT Salary Pool < .50,Faculty,Part-Time,"$12,144.00 "
58090,OUS - Portland State University,EDU UP Grant ProjectSpecialist,Other professionals,Full-Time,"$49,056.00 "
58090,OUS - Portland State University,ENG UT Salary Pool < .50,Faculty,Part-Time,"$4,998.00 "
58090,OUS - Portland State University,PHL UT Salary Pool < .50,Faculty,Part-Time,"$3,682.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,SSW UP Assoc Prof,Faculty,Full-Time,"$71,793.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$29,972.00 "
58090,OUS - Portland State University,IST UP Asc Prof,Faculty,Full-Time,"$65,979.00 "
58090,OUS - Portland State University,BIO UP Asc Prof,Faculty,Full-Time,"$57,176.00 "
58090,OUS - Portland State University,WSC UP Senior Instructor II,Faculty,Full-Time,"$44,685.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,XCE UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,Office Specialist 1,Classified Staff,Full-Time,"$16,973.00 "
58090,OUS - Portland State University,ECN UP Asc Prof,Faculty,Full-Time,"$102,942.00 "
58090,OUS - Portland State University,Administrative Program Spec,Classified Staff,Full-Time,"$40,767.00 "
58090,OUS - Portland State University,Administrative Program Assist,Classified Staff,Full-Time,"$37,127.00 "
58090,OUS - Portland State University,JUS UT Salary Pool < .50,Faculty,Part-Time,"$3,596.00 "
58090,OUS - Portland State University,Executive Support Specialist 1,Classified Staff,Full-Time,"$42,708.00 "
58090,OUS - Portland State University,MTH UP Senior Instructor I,Faculty,Full-Time,"$48,519.00 "
58090,OUS - Portland State University,MUS UP Asc Prof,Faculty,Full-Time,"$71,982.00 "
58090,OUS - Portland State University,INR UX Director of INR,Executive/Admin and managerial,Full-Time,"$33,540.00 "
58090,OUS - Portland State University,Analyst Programmer,Classified Staff,Full-Time,"$84,444.00 "
58090,OUS - Portland State University,SBA UP Recruit & Admiss Spec,Other professionals,Full-Time,"$40,092.00 "
58090,OUS - Portland State University,Food Service Coordinator,Classified Staff,Full-Time,"$35,463.00 "
58090,OUS - Portland State University,Administrative Program Assist,Classified Staff,Full-Time,"$42,702.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,PHY UP Rsch Asc Prof,Faculty,Full-Time,"$66,042.00 "
58090,OUS - Portland State University,MUS UT Salary Pool < .50,Faculty,Part-Time,$556.00 
58090,OUS - Portland State University,HST UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,HOU UX Asc Dir for HouBusOps,Other professionals,Full-Time,"$67,608.00 "
58090,OUS - Portland State University,PAD UT Salary Pool < .50,Faculty,Part-Time,"$2,583.00 "
58090,OUS - Portland State University,ADV UU Secretary to VP of ADV,Clerical and secretarial,Full-Time,"$32,652.00 "
58090,OUS - Portland State University,REC UP Intrmrls & Grp Ex Coord,Other professionals,Full-Time,"$45,144.00 "
58090,OUS - Portland State University,ESR UP Program Director SWRP,Other professionals,Full-Time,"$56,292.00 "
58090,OUS - Portland State University,ANT UT Salary Pool < .50,Faculty,Part-Time,"$10,376.00 "
58090,OUS - Portland State University,BIO UP Professor,Faculty,Full-Time,"$73,242.00 "
58090,OUS - Portland State University,ECN UT Salary Pool < .50,Faculty,Part-Time,"$3,484.00 "
58090,OUS - Portland State University,RRI UP Pub&Multimedia Mgr,Other professionals,Full-Time,"$45,240.00 "
58090,OUS - Portland State University,ENG UT Salary Pool < .50,Faculty,Part-Time,"$3,684.00 "
58090,OUS - Portland State University,EAS UX Executive Dir MESA,Executive/Admin and managerial,Full-Time,"$73,224.00 "
58090,OUS - Portland State University,Dental Assistant 2,Classified Staff,Full-Time,"$42,702.00 "
58090,OUS - Portland State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,"$35,463.00 "
58090,OUS - Portland State University,IOA UP Professor,Faculty,Full-Time,"$51,219.00 "
58090,OUS - Portland State University,PHL UX Department Chair,Executive/Admin and managerial,Full-Time,"$95,280.00 "
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,SYS UT Salary Pool < .50,Faculty,Part-Time,"$9,996.00 "
58090,OUS - Portland State University,COM UT Salary Pool <.50,Faculty,Part-Time,"$8,064.00 "
